cluster_id,subject,mention_index_in_cluster,mention_id,mention_text,mention_start,mention_end,sentence_index,mention_render_rule,mention_render_was_changed,original_context_text,rendered_context_text,context_text,normalized_context_text,chunk_index,elapsed_seconds_at_completion,openness_positive_probability,openness_negative_probability,openness_neutral_probability,conscientiousness_positive_probability,conscientiousness_negative_probability,conscientiousness_neutral_probability,extraversion_positive_probability,extraversion_negative_probability,extraversion_neutral_probability,agreeableness_positive_probability,agreeableness_negative_probability,agreeableness_neutral_probability,neuroticism_positive_probability,neuroticism_negative_probability,neuroticism_neutral_probability,OCEAN_weight_high_probability,OCEAN_weight_medium_probability,OCEAN_weight_low_probability
41,her friends,0,278,their friend,2290,2292,101,ambiguous_or_unsupported_keep_original,False,"""No, but I am [[their friend]], although I live in the land of the North.","""No, but I am their friend, although I live in the land of the North.","""No, but I am their friend, although I live in the land of the North.","""No, but I am their friend, although I live in the land of the North.",1,9.776069099985762,0.24112246930599213,0.3983209729194641,0.36055654287338257,0.3042554259300232,0.29345807433128357,0.40228646993637085,0.3711729347705841,0.33174392580986023,0.2970830798149109,0.5383358597755432,0.08584515750408173,0.37581899762153625,0.1590476781129837,0.5730323791503906,0.26791998744010925,0.1426175981760025,0.5371829867362976,0.3201993703842163
41,her friends,1,712,his friends,4674,4676,201,ambiguous_or_unsupported_keep_original,False,"The people greeted Dorothy kindly, and invited her to supper and to pass the night with them; for this was the home of one of the richest Munchkins in the land, and [[his friends]] were gathered with him to celebrate their freedom from the bondage of the Wicked Witch.","The people greeted Dorothy kindly, and invited her to supper and to pass the night with them; for this was the home of one of the richest Munchkins in the land, and his friends were gathered with him to celebrate their freedom from the bondage of the Wicked Witch.","The people greeted Dorothy kindly, and invited her to supper and to pass the night with them; for this was the home of one of the richest Munchkins in the land, and his friends were gathered with him to celebrate their freedom from the bondage of the Wicked Witch.","The people greeted Dorothy kindly, and invited her to supper and to pass the night with them; for this was the home of one of the richest Munchkins in the land, and his friends were gathered with him to celebrate their freedom from the bondage of the Wicked Witch.",1,9.776069099985762,0.48988255858421326,0.09395336359739304,0.4161641299724579,0.2545645236968994,0.12651179730892181,0.6189237236976624,0.5483580231666565,0.13069239258766174,0.320949524641037,0.9213862419128418,0.012702790088951588,0.06591104716062546,0.06438367813825607,0.3654714822769165,0.5701448321342468,0.18902477622032166,0.4024187922477722,0.40855643153190613
41,her friends,2,817,her friends,5140,5142,223,proper_name_to_canonical,False,"She bade [[her friends]] good-bye, and again started along the road of yellow brick.","She bade her friends good-bye, and again started along the road of yellow brick.","She bade her friends good-bye, and again started along the road of yellow brick.","She bade her friends good-bye, and again started along the road of yellow brick.",1,9.776069099985762,0.21379299461841583,0.3555966913700104,0.4306102991104126,0.35715994238853455,0.24048934876918793,0.4023507833480835,0.2121468484401703,0.31924861669540405,0.46860453486442566,0.2662939131259918,0.1830209642648697,0.5506851077079773,0.2167658805847168,0.4465155005455017,0.3367185890674591,0.11306285858154297,0.3241371214389801,0.5628000497817993
41,her friends,3,1959,her two friends,10397,10400,440,ambiguous_or_unsupported_keep_original,False,""" Dorothy did not say anything, for she was puzzled to know which of [[her two friends]] was right, and she decided if she could only get back to Kansas and Aunt Em, it did not matter so much whether the Woodman had no brains and the Scarecrow no heart, or each got what he wanted.",""" Dorothy did not say anything, for she was puzzled to know which of her two friends was right, and she decided if she could only get back to Kansas and Aunt Em, it did not matter so much whether the Woodman had no brains and the Scarecrow no heart, or each got what he wanted.",""" Dorothy did not say anything, for she was puzzled to know which of her two friends was right, and she decided if she could only get back to Kansas and Aunt Em, it did not matter so much whether the Woodman had no brains and the Scarecrow no heart, or each got what he wanted.",""" Dorothy did not say anything, for she was puzzled to know which of her two friends was right, and she decided if she could only get back to Kansas and Aunt Em, it did not matter so much whether the Woodman had no brains and the Scarecrow no heart, or each got what he wanted.",1,9.776069099985762,0.049712929874658585,0.29544761776924133,0.6548393964767456,0.0415005087852478,0.22108721733093262,0.7374122738838196,0.07710433751344681,0.2873179018497467,0.6355777978897095,0.052700068801641464,0.15856732428073883,0.7887325882911682,0.1470697522163391,0.2845938503742218,0.5683364272117615,0.1455865055322647,0.5062816143035889,0.34813186526298523
41,her friends,4,2913,my friends,15616,15618,643,ambiguous_or_unsupported_keep_original,False,"""I am Dorothy,"" answered the girl, ""and these are [[my friends]], the Tin Woodman and the Cowardly Lion; and we are going to the Emerald City.""","""I am Dorothy,"" answered the girl, ""and these are my friends, the Tin Woodman and the Cowardly Lion; and we are going to the Emerald City.""","""I am Dorothy,"" answered the girl, ""and these are my friends, the Tin Woodman and the Cowardly Lion; and we are going to the Emerald City.""","""I am Dorothy,"" answered the girl, ""and these are my friends, the Tin Woodman and the Cowardly Lion; and we are going to the Emerald City.""",1,9.776069099985762,0.33672472834587097,0.37072375416755676,0.29255151748657227,0.16973458230495453,0.32526054978370667,0.5050048232078552,0.39915648102760315,0.22005873918533325,0.3807847797870636,0.37378990650177,0.08446938544511795,0.5417407751083374,0.08155414462089539,0.45127758383750916,0.46716827154159546,0.11447363346815109,0.3162600100040436,0.5692663788795471
41,her friends,5,3234,a friend,17219,17221,702,ambiguous_or_unsupported_keep_original,False,"""I have no heart, you know, so I am careful to help all those who may need [[a friend]], even if it happens to be only a mouse.""","""I have no heart, you know, so I am careful to help all those who may need a friend, even if it happens to be only a mouse.""","""I have no heart, you know, so I am careful to help all those who may need a friend, even if it happens to be only a mouse.""","""I have no heart, you know, so I am careful to help all those who may need a friend, even if it happens to be only a mouse.""",1,9.776069099985762,0.04933245852589607,0.3212171494960785,0.6294503211975098,0.25354519486427307,0.21750497817993164,0.5289498567581177,0.06488894671201706,0.41522490978240967,0.5198861956596375,0.33313634991645813,0.31180864572525024,0.35505494475364685,0.06792324781417847,0.5664972066879272,0.3655795454978943,0.20831309258937836,0.5224220752716064,0.26926472783088684
41,her friends,6,3346,anyone who is our friend,17794,17799,726,ambiguous_or_unsupported_keep_original,False,"""He says so himself,"" answered the Scarecrow, ""and he would never hurt [[anyone who is our friend]].","""He says so himself,"" answered the Scarecrow, ""and he would never hurt anyone who is our friend.","""He says so himself,"" answered the Scarecrow, ""and he would never hurt anyone who is our friend.","""He says so himself,"" answered the Scarecrow, ""and he would never hurt anyone who is our friend.",1,9.776069099985762,0.19327083230018616,0.36819908022880554,0.4385300874710083,0.3175976276397705,0.1900169551372528,0.4923854172229767,0.3558926284313202,0.2840195894241333,0.3600877821445465,0.5588340163230896,0.17918187379837036,0.2619841992855072,0.1273680478334427,0.5094396471977234,0.36319229006767273,0.26869842410087585,0.4094662070274353,0.32183536887168884
41,her friends,7,3348,our friend,17797,17799,726,ambiguous_or_unsupported_keep_original,False,"""He says so himself,"" answered the Scarecrow, ""and he would never hurt anyone who is [[our friend]].","""He says so himself,"" answered the Scarecrow, ""and he would never hurt anyone who is our friend.","""He says so himself,"" answered the Scarecrow, ""and he would never hurt anyone who is our friend.","""He says so himself,"" answered the Scarecrow, ""and he would never hurt anyone who is our friend.",1,9.776069099985762,0.1933535933494568,0.36835673451423645,0.4382896423339844,0.317903071641922,0.19019971787929535,0.491897314786911,0.35586610436439514,0.2837212085723877,0.36041274666786194,0.5592326521873474,0.17891612648963928,0.2618512213230133,0.12754003703594208,0.5091322064399719,0.3633277416229248,0.26853275299072266,0.4090638756752014,0.3224034309387207
41,her friends,8,3996,her friends,21024,21026,852,proper_name_to_canonical,False,"Even with eyes protected by the green spectacles, Dorothy and [[her friends]] were at first dazzled by the brilliancy of the wonderful City.","Even with eyes protected by the green spectacles, Dorothy and her friends were at first dazzled by the brilliancy of the wonderful City.","Even with eyes protected by the green spectacles, Dorothy and her friends were at first dazzled by the brilliancy of the wonderful City.","Even with eyes protected by the green spectacles, Dorothy and her friends were at first dazzled by the brilliancy of the wonderful City.",1,9.776069099985762,0.6208272576332092,0.17683082818984985,0.2023419588804245,0.12316534668207169,0.21489903330802917,0.6619356274604797,0.4124520719051361,0.21565556526184082,0.3718923330307007,0.5238308310508728,0.07531773298978806,0.4008513391017914,0.22048628330230713,0.3582342565059662,0.4212794899940491,0.15209701657295227,0.605977475643158,0.24192552268505096
41,her friends,9,4038,the men,21272,21274,861,simple_nominal_to_canonical,True,"There seemed to be no horses nor animals of any kind; [[the men]] carried things around in little green carts, which they pushed before them.","There seemed to be no horses nor animals of any kind; her friends carried things around in little green carts, which they pushed before them.","There seemed to be no horses nor animals of any kind; her friends carried things around in little green carts, which they pushed before them.","There seemed to be no horses nor animals of any kind; her friends carried things around in little green carts, which they pushed before them.",1,9.776069099985762,0.24349218606948853,0.34170645475387573,0.41480132937431335,0.24236533045768738,0.3421238362789154,0.4155108332633972,0.2750422954559326,0.26502272486686707,0.45993494987487793,0.44117024540901184,0.20778442919254303,0.35104528069496155,0.10533498972654343,0.6634660363197327,0.23119892179965973,0.06480053067207336,0.4002600610256195,0.5349394679069519
