local_cluster_uid,chunk_id,chunk_index,local_cluster_id,canonical_name,n_mentions
chunk_003::cluster_000,chunk_003,3,0,the Scarecrow,75
chunk_003::cluster_001,chunk_003,3,1,Dorothy,103
chunk_003::cluster_002,chunk_003,3,2,the hole,2
chunk_003::cluster_003,chunk_003,3,3,the Lion,390
chunk_003::cluster_004,chunk_003,3,4,Oz,14
chunk_003::cluster_005,chunk_003,3,5,the travelers,95
chunk_003::cluster_006,chunk_003,3,6,the forest,13
chunk_003::cluster_007,chunk_003,3,7,the son of a woodman who chopped down trees in the forest and sold the wood for a living,1
chunk_003::cluster_008,chunk_003,3,8,a woodman who chopped down trees in the forest and sold the wood for a living,1
chunk_003::cluster_009,chunk_003,3,9,a wood-chopper,1
chunk_003::cluster_010,chunk_003,3,10,my old mother,2
chunk_003::cluster_011,chunk_003,3,11,the old woman,38
chunk_003::cluster_012,chunk_003,3,12,the Munchkin girls,1
chunk_003::cluster_013,chunk_003,3,13,a better house for her,1
chunk_003::cluster_014,chunk_003,3,14,anyone,1
chunk_003::cluster_015,chunk_003,3,15,the new house,1
chunk_003::cluster_016,chunk_003,3,16,a one-legged man,1
chunk_003::cluster_017,chunk_003,3,17,a wood-chopper,1
chunk_003::cluster_018,chunk_003,3,18,the tinsmith,5
chunk_003::cluster_019,chunk_003,3,19,my cottage,1
chunk_003::cluster_020,chunk_003,3,20,the happiest man on earth,1
chunk_003::cluster_021,chunk_003,3,21,earth,1
chunk_003::cluster_022,chunk_003,3,22,no one,1
chunk_003::cluster_023,chunk_003,3,23,a fool,2
chunk_003::cluster_024,chunk_003,3,24,the world,2
chunk_003::cluster_025,chunk_003,3,25,the woods,4
chunk_003::cluster_026,chunk_003,3,26,the road,13
chunk_003::cluster_027,chunk_003,3,27,her two friends,1
chunk_003::cluster_028,chunk_003,3,28,Aunt Em,1
chunk_003::cluster_029,chunk_003,3,29,he,1
chunk_003::cluster_030,chunk_003,3,30,Toto,31
chunk_003::cluster_031,chunk_003,3,31,her companions,1
chunk_003::cluster_032,chunk_003,3,32,this part of the forest,1
chunk_003::cluster_033,chunk_003,3,33,the open country where there is plenty of sunshine,1
chunk_003::cluster_034,chunk_003,3,34,the river,24
chunk_003::cluster_035,chunk_003,3,35,a boy,1
chunk_003::cluster_036,chunk_003,3,36,a dangerous country,1
chunk_003::cluster_037,chunk_003,3,37,the country,1
chunk_003::cluster_038,chunk_003,3,38,a stuffed man,1
chunk_003::cluster_039,chunk_003,3,39,No one,1
chunk_003::cluster_040,chunk_003,3,40,All the other animals in the forest,1
chunk_003::cluster_041,chunk_003,3,41,the King of Beasts,1
chunk_003::cluster_042,chunk_003,3,42,every living thing,1
chunk_003::cluster_043,chunk_003,3,43,a man,4
chunk_003::cluster_044,chunk_003,3,44,Kansas,4
chunk_003::cluster_045,chunk_003,3,45,they,1
chunk_003::cluster_046,chunk_003,3,46,they,3
chunk_003::cluster_047,chunk_003,3,47,a coward,1
chunk_003::cluster_048,chunk_003,3,48,any living creature,1
chunk_003::cluster_049,chunk_003,3,49,You,1
chunk_003::cluster_050,chunk_003,3,50,You people with hearts,1
chunk_003::cluster_051,chunk_003,3,51,you,1
chunk_003::cluster_052,chunk_003,3,52,no houses,1
chunk_003::cluster_053,chunk_003,3,53,you,1
chunk_003::cluster_054,chunk_003,3,54,no one,1
chunk_003::cluster_055,chunk_003,3,55,a little rippling brook,1
chunk_003::cluster_056,chunk_003,3,56,the gulf,14
chunk_003::cluster_057,chunk_003,3,57,none of them,1
chunk_003::cluster_058,chunk_003,3,58,we,1
chunk_003::cluster_059,chunk_003,3,59,his,1
chunk_003::cluster_060,chunk_003,3,60,the depths of the forest,1
chunk_003::cluster_061,chunk_003,3,61,the Kalidahs,21
chunk_003::cluster_062,chunk_003,3,62,the country,2
chunk_003::cluster_063,chunk_003,3,63,another gulf across the road,1
chunk_003::cluster_064,chunk_003,3,64,this queer bridge,1
chunk_003::cluster_065,chunk_003,3,65,green meadows dotted with bright flowers,1
chunk_003::cluster_066,chunk_003,3,66,the riverbank,1
chunk_003::cluster_067,chunk_003,3,67,her own home,1
chunk_003::cluster_068,chunk_003,3,68,a princess,1
chunk_003::cluster_069,chunk_003,3,69,the dark forest they had passed safely through,1
chunk_003::cluster_070,chunk_003,3,70,"a lovely, sunny country that seemed to beckon them on to the Emerald City",1
chunk_003::cluster_071,chunk_003,3,71,the raft,8
chunk_003::cluster_072,chunk_003,3,72,the land,1
chunk_003::cluster_073,chunk_003,3,73,the country of the Wicked Witch of the West,1
chunk_003::cluster_074,chunk_003,3,74,the Wicked Witch of the West,1
chunk_003::cluster_075,chunk_003,3,75,her slaves,1
chunk_003::cluster_076,chunk_003,3,76,a cornfield,1
chunk_003::cluster_077,chunk_003,3,77,a Scarecrow stuck on a pole in the middle of a river,1
chunk_003::cluster_078,chunk_003,3,78,the shore,1
chunk_003::cluster_079,chunk_003,3,79,you,1
