cluster_id,subject,mention_index_in_cluster,mention_id,mention_text,mention_start,mention_end,sentence_index,mention_render_rule,mention_render_was_changed,original_context_text,rendered_context_text,context_text,normalized_context_text,chunk_index,elapsed_seconds_at_completion,openness_positive_probability,openness_negative_probability,openness_neutral_probability,openness,conscientiousness_positive_probability,conscientiousness_negative_probability,conscientiousness_neutral_probability,conscientiousness,extraversion_positive_probability,extraversion_negative_probability,extraversion_neutral_probability,extraversion,agreeableness_positive_probability,agreeableness_negative_probability,agreeableness_neutral_probability,agreeableness,neuroticism_positive_probability,neuroticism_negative_probability,neuroticism_neutral_probability,neuroticism,OCEAN_weight_high_probability,OCEAN_weight_medium_probability,OCEAN_weight_low_probability,OCEAN_weight,OCEAN_weight_source
67,the Winkies,0,426,the Winkies,3164,3166,142,proper_name_to_canonical,False,"And that country, where [[the Winkies]] live, is ruled by the Wicked Witch of the West, who would make you her slave if you passed her way.""","And that country, where the Winkies live, is ruled by the Wicked Witch of the West, who would make you her slave if you passed her way.""","And that country, where the Winkies live, is ruled by the Wicked Witch of the West, who would make you her slave if you passed her way.""","And that country, where the Winkies live, is ruled by the Wicked Witch of the West, who would make you her slave if you passed her way.""",1,25.741573599996627,0.05855727568268776,0.46692898869514465,0.4745137095451355,50.0,0.1656193733215332,0.2760092616081238,0.558371365070343,50.0,0.10408295691013336,0.5088240504264832,0.3870929181575775,50.0,0.019515564665198326,0.8205557465553284,0.15992867946624756,2.32,0.27556565403938293,0.44859951734542847,0.2758348882198334,50.0,0.09988537430763245,0.16672611236572266,0.7333885431289673,18.32,direct_nli_zero_shot
67,the Winkies,1,4897,the land of the Winkies,25002,25007,1002,proper_name_to_canonical,True,"""There is only one thing we can do,"" returned the Lion, ""and that is to go to [[the land of the Winkies]], seek out the Wicked Witch, and destroy her.""","""There is only one thing we can do,"" returned the Lion, ""and that is to go to the Winkies, seek out the Wicked Witch, and destroy her.""","""There is only one thing we can do,"" returned the Lion, ""and that is to go to the Winkies, seek out the Wicked Witch, and destroy her.""","""There is only one thing we can do,"" returned the Lion, ""and that is to go to the Winkies, seek out the Wicked Witch, and destroy her.""",1,25.741573599996627,0.19577768445014954,0.42887237668037415,0.37534987926483154,50.0,0.3271697461605072,0.3057011663913727,0.3671290874481201,50.0,0.2498473823070526,0.351482093334198,0.3986705541610718,50.0,0.21550938487052917,0.4963259994983673,0.28816458582878113,50.0,0.23069679737091064,0.4483862519264221,0.32091695070266724,50.0,0.19423632323741913,0.2630058228969574,0.5427579283714294,32.57,direct_nli_zero_shot
67,the Winkies,2,5020,the country of the Winkies,25518,25523,1024,proper_name_to_canonical,True,"""That will be easy,"" replied the man, ""for when she knows you are in [[the country of the Winkies]] she will find you, and make you all her slaves.","""That will be easy,"" replied the man, ""for when she knows you are in the Winkies she will find you, and make you all her slaves.","""That will be easy,"" replied the man, ""for when she knows you are in the Winkies she will find you, and make you all her slaves.","""That will be easy,"" replied the man, ""for when she knows you are in the Winkies she will find you, and make you all her slaves.",1,25.741573599996627,0.110206738114357,0.3350147306919098,0.554778516292572,50.0,0.19264766573905945,0.27635955810546875,0.5309928059577942,50.0,0.21054401993751526,0.37763315439224243,0.4118227958679199,50.0,0.11459492892026901,0.634494960308075,0.2509101629257202,15.3,0.2073213905096054,0.5216196179389954,0.2710590064525604,28.44,0.19380542635917664,0.3201558291912079,0.4860387444496155,35.39,direct_nli_zero_shot
67,the Winkies,3,5021,the Winkies,25521,25523,1024,proper_name_to_canonical,False,"""That will be easy,"" replied the man, ""for when she knows you are in the country of [[the Winkies]] she will find you, and make you all her slaves.","""That will be easy,"" replied the man, ""for when she knows you are in the country of the Winkies she will find you, and make you all her slaves.","""That will be easy,"" replied the man, ""for when she knows you are in the country of the Winkies she will find you, and make you all her slaves.","""That will be easy,"" replied the man, ""for when she knows you are in the country of the Winkies she will find you, and make you all her slaves.",1,25.741573599996627,0.07945258915424347,0.2858404815196991,0.6347069144248962,50.0,0.2325349748134613,0.23596632480621338,0.5314987301826477,50.0,0.17563600838184357,0.33346137404441833,0.4909026324748993,50.0,0.07698237895965576,0.6677513718605042,0.2552662491798401,10.34,0.16205106675624847,0.5101169347763062,0.32783201336860657,24.11,0.1601819097995758,0.2970028519630432,0.5428152680397034,30.87,direct_nli_zero_shot
67,the Winkies,4,5295,a dozen of her slaves,26908,26913,1083,ambiguous_or_unsupported_keep_original,False,"And then she called [[a dozen of her slaves]], who were the Winkies, and gave them sharp spears, telling them to go to the strangers and destroy them.","And then she called a dozen of her slaves, who were the Winkies, and gave them sharp spears, telling them to go to the strangers and destroy them.","And then she called a dozen of her slaves, who were the Winkies, and gave them sharp spears, telling them to go to the strangers and destroy them.","And then she called a dozen of her slaves, who were the Winkies, and gave them sharp spears, telling them to go to the strangers and destroy them.",1,25.741573599996627,0.015090208500623703,0.2018062174320221,0.7831035256385803,50.0,0.10165944695472717,0.18052099645137787,0.7178195714950562,50.0,0.05829034373164177,0.28607580065727234,0.6556338667869568,50.0,0.029839158058166504,0.7319943308830261,0.23816652595996857,3.92,0.06154225394129753,0.5399831533432007,0.39847466349601746,50.0,0.0902782678604126,0.12045089155435562,0.7892709374427795,15.05,direct_nli_zero_shot
67,the Winkies,5,5300,the Winkies,26916,26918,1083,proper_name_to_canonical,False,"And then she called a dozen of her slaves, who were [[the Winkies]], and gave them sharp spears, telling them to go to the strangers and destroy them.","And then she called a dozen of her slaves, who were the Winkies, and gave them sharp spears, telling them to go to the strangers and destroy them.","And then she called a dozen of her slaves, who were the Winkies, and gave them sharp spears, telling them to go to the strangers and destroy them.","And then she called a dozen of her slaves, who were the Winkies, and gave them sharp spears, telling them to go to the strangers and destroy them.",1,25.741573599996627,0.015128593891859055,0.20207270979881287,0.782798707485199,50.0,0.10169479250907898,0.18093685805797577,0.7173683643341064,50.0,0.05840173363685608,0.2859933376312256,0.6556049585342407,50.0,0.029839158058166504,0.7319943308830261,0.23816652595996857,3.92,0.06154225394129753,0.5399831533432007,0.39847466349601746,50.0,0.0902782678604126,0.12045089155435562,0.7892709374427795,15.05,direct_nli_zero_shot
67,the Winkies,6,5301,them,26921,26922,1083,third_person_object_pronoun_to_canonical,True,"And then she called a dozen of her slaves, who were the Winkies, and gave [[them]] sharp spears, telling them to go to the strangers and destroy them.","And then she called a dozen of her slaves, who were the Winkies, and gave the Winkies sharp spears, telling them to go to the strangers and destroy them.","And then she called a dozen of her slaves, who were the Winkies, and gave the Winkies sharp spears, telling them to go to the strangers and destroy them.","And then she called a dozen of her slaves, who were the Winkies, and gave the Winkies sharp spears, telling them to go to the strangers and destroy them.",1,25.741573599996627,0.017164936289191246,0.20056143403053284,0.7822736501693726,50.0,0.11031047999858856,0.1928461492061615,0.6968433856964111,50.0,0.06121094152331352,0.27392685413360596,0.6648622155189514,50.0,0.03600310534238815,0.7052700519561768,0.25872692465782166,4.86,0.06450014561414719,0.4890899062156677,0.4464099705219269,50.0,0.0865323469042778,0.12719370424747467,0.7862740159034729,15.01,direct_nli_zero_shot
67,the Winkies,7,5303,them,26926,26927,1083,third_person_object_pronoun_to_canonical,True,"And then she called a dozen of her slaves, who were the Winkies, and gave them sharp spears, telling [[them]] to go to the strangers and destroy them.","And then she called a dozen of her slaves, who were the Winkies, and gave them sharp spears, telling the Winkies to go to the strangers and destroy them.","And then she called a dozen of her slaves, who were the Winkies, and gave them sharp spears, telling the Winkies to go to the strangers and destroy them.","And then she called a dozen of her slaves, who were the Winkies, and gave them sharp spears, telling the Winkies to go to the strangers and destroy them.",1,25.741573599996627,0.016541199758648872,0.18801434338092804,0.7954444885253906,50.0,0.11539193987846375,0.18904535472393036,0.6955627799034119,50.0,0.059899069368839264,0.2745468318462372,0.6655541062355042,50.0,0.041559506207704544,0.6867761015892029,0.27166444063186646,5.71,0.062032267451286316,0.49845683574676514,0.43951088190078735,50.0,0.09893745929002762,0.13744492828845978,0.7636175751686096,16.77,direct_nli_zero_shot
67,the Winkies,8,5307,The Winkies,26937,26939,1084,proper_name_to_canonical,True,"[[The Winkies]] were not a brave people, but they had to do as they were told.","the Winkies were not a brave people, but they had to do as they were told.","the Winkies were not a brave people, but they had to do as they were told.","the Winkies were not a brave people, but they had to do as they were told.",1,25.741573599996627,0.00675940839573741,0.5123768448829651,0.48086369037628174,50.0,0.27581918239593506,0.08354702591896057,0.640633761882782,50.0,0.014397836290299892,0.2795732915401459,0.7060288190841675,50.0,0.04252709075808525,0.39985746145248413,0.5576154589653015,50.0,0.24176914989948273,0.5291047692298889,0.22912608087062836,50.0,0.12513041496276855,0.47472256422042847,0.40014705061912537,36.25,direct_nli_zero_shot
67,the Winkies,9,5310,they,26946,26947,1084,third_person_subject_pronoun_to_canonical,True,"The Winkies were not a brave people, but [[they]] had to do as they were told.","The Winkies were not a brave people, but the Winkies had to do as they were told.","The Winkies were not a brave people, but the Winkies had to do as they were told.","The Winkies were not a brave people, but the Winkies had to do as they were told.",1,25.741573599996627,0.007141696289181709,0.5257251262664795,0.46713319420814514,50.0,0.23398834466934204,0.10913394391536713,0.6568776965141296,50.0,0.015386069193482399,0.348649799823761,0.6359641551971436,50.0,0.04405078664422035,0.39175868034362793,0.5641905665397644,50.0,0.2130577117204666,0.531945526599884,0.2549966871738434,28.6,0.08531516045331955,0.45622584223747253,0.45845896005630493,31.34,direct_nli_zero_shot
67,the Winkies,10,5312,they,26951,26952,1084,third_person_subject_pronoun_to_canonical,True,"The Winkies were not a brave people, but they had to do as [[they]] were told.","The Winkies were not a brave people, but they had to do as the Winkies were told.","The Winkies were not a brave people, but they had to do as the Winkies were told.","The Winkies were not a brave people, but they had to do as the Winkies were told.",1,25.741573599996627,0.012012177146971226,0.5135215520858765,0.4744662344455719,50.0,0.23737457394599915,0.10857191681861877,0.6540535092353821,50.0,0.02609880454838276,0.33194103837013245,0.6419601440429688,50.0,0.06334436684846878,0.40844428539276123,0.5282114148139954,50.0,0.2581086754798889,0.5230512619018555,0.21884015202522278,50.0,0.08283160626888275,0.4693303108215332,0.44783809781074524,31.75,direct_nli_zero_shot
67,the Winkies,11,5314,they,26956,26957,1085,third_person_subject_pronoun_to_canonical,True,So [[they]] marched away until they came near to Dorothy.,So the Winkies marched away until they came near to Dorothy.,So the Winkies marched away until they came near to Dorothy.,So the Winkies marched away until they came near to Dorothy.,1,25.741573599996627,0.11921508610248566,0.5054187774658203,0.3753661811351776,50.0,0.29013699293136597,0.36766403913497925,0.3421989381313324,50.0,0.36641550064086914,0.4614712595939636,0.17211325466632843,50.0,0.17502561211585999,0.5003697872161865,0.32460469007492065,25.91,0.13421376049518585,0.653086245059967,0.21270005404949188,17.05,0.10492489486932755,0.26407110691070557,0.6310039758682251,23.7,direct_nli_zero_shot
67,the Winkies,12,5316,they,26960,26961,1085,third_person_subject_pronoun_to_canonical,True,So they marched away until [[they]] came near to Dorothy.,So they marched away until the Winkies came near to Dorothy.,So they marched away until the Winkies came near to Dorothy.,So they marched away until the Winkies came near to Dorothy.,1,25.741573599996627,0.16759814321994781,0.466155081987381,0.3662468194961548,50.0,0.28361111879348755,0.41945716738700867,0.29693180322647095,50.0,0.358143150806427,0.4129253327846527,0.22893154621124268,50.0,0.1846591830253601,0.477684885263443,0.3376559317111969,50.0,0.21946312487125397,0.5092713832855225,0.27126556634902954,50.0,0.104126937687397,0.32214611768722534,0.573727011680603,26.52,direct_nli_zero_shot
67,the Winkies,13,5320,them,26976,26977,1086,third_person_object_pronoun_to_canonical,True,"Then the Lion gave a great roar and sprang towards [[them]], and the poor Winkies were so frightened that they ran back as fast as they could.","Then the Lion gave a great roar and sprang towards the Winkies, and the poor Winkies were so frightened that they ran back as fast as they could.","Then the Lion gave a great roar and sprang towards the Winkies, and the poor Winkies were so frightened that they ran back as fast as they could.","Then the Lion gave a great roar and sprang towards the Winkies, and the poor Winkies were so frightened that they ran back as fast as they could.",1,25.741573599996627,0.010535133071243763,0.28264886140823364,0.7068159580230713,50.0,0.012462313286960125,0.13742795586585999,0.8501096963882446,50.0,0.009464497677981853,0.34397372603416443,0.6465618014335632,50.0,0.01333550550043583,0.05177334323525429,0.9348911643028259,50.0,0.8741403222084045,0.014874265529215336,0.11098534613847733,98.33,0.2300899773836136,0.38645875453948975,0.38345131278038025,42.33,direct_nli_zero_shot
67,the Winkies,14,5322,the poor Winkies,26979,26982,1086,proper_name_to_canonical,True,"Then the Lion gave a great roar and sprang towards them, and [[the poor Winkies]] were so frightened that they ran back as fast as they could.","Then the Lion gave a great roar and sprang towards them, and the Winkies were so frightened that they ran back as fast as they could.","Then the Lion gave a great roar and sprang towards them, and the Winkies were so frightened that they ran back as fast as they could.","Then the Lion gave a great roar and sprang towards them, and the Winkies were so frightened that they ran back as fast as they could.",1,25.741573599996627,0.007574746385216713,0.313226580619812,0.6791986227035522,50.0,0.010522928088903427,0.17806877195835114,0.811408281326294,50.0,0.005318923853337765,0.4083364009857178,0.5863446593284607,50.0,0.007037133444100618,0.049423184245824814,0.9435396194458008,50.0,0.8660942912101746,0.013296224176883698,0.12060952186584473,98.49,0.2690257430076599,0.40071263909339905,0.3302616477012634,46.94,direct_nli_zero_shot
67,the Winkies,15,5323,they,26986,26987,1086,third_person_subject_pronoun_to_canonical,True,"Then the Lion gave a great roar and sprang towards them, and the poor Winkies were so frightened that [[they]] ran back as fast as they could.","Then the Lion gave a great roar and sprang towards them, and the poor Winkies were so frightened that the Winkies ran back as fast as they could.","Then the Lion gave a great roar and sprang towards them, and the poor Winkies were so frightened that the Winkies ran back as fast as they could.","Then the Lion gave a great roar and sprang towards them, and the poor Winkies were so frightened that the Winkies ran back as fast as they could.",1,25.741573599996627,0.012134510092437267,0.3172067105770111,0.6706587672233582,50.0,0.012551013380289078,0.15275341272354126,0.83469557762146,50.0,0.008254245854914188,0.39819762110710144,0.5935481786727905,50.0,0.01625838316977024,0.06070290133357048,0.9230387210845947,50.0,0.9089893102645874,0.011797066777944565,0.07921358197927475,98.72,0.23511454463005066,0.41893237829208374,0.345953106880188,44.46,direct_nli_zero_shot
67,the Winkies,16,5325,they,26992,26993,1086,third_person_subject_pronoun_to_canonical,True,"Then the Lion gave a great roar and sprang towards them, and the poor Winkies were so frightened that they ran back as fast as [[they]] could.","Then the Lion gave a great roar and sprang towards them, and the poor Winkies were so frightened that they ran back as fast as the Winkies could.","Then the Lion gave a great roar and sprang towards them, and the poor Winkies were so frightened that they ran back as fast as the Winkies could.","Then the Lion gave a great roar and sprang towards them, and the poor Winkies were so frightened that they ran back as fast as the Winkies could.",1,25.741573599996627,0.014655806124210358,0.3511123061180115,0.6342319250106812,50.0,0.015509351156651974,0.1653628945350647,0.8191277384757996,50.0,0.011486980132758617,0.4246739149093628,0.5638390779495239,50.0,0.0295517947524786,0.06757870316505432,0.9028695821762085,50.0,0.9120134711265564,0.02181953378021717,0.06616691499948502,97.66,0.24905920028686523,0.39067888259887695,0.3602619171142578,44.44,direct_nli_zero_shot
