cluster_id,subject,mention_index_in_cluster,mention_id,mention_text,mention_start,mention_end,sentence_index,mention_render_rule,mention_render_was_changed,original_context_text,rendered_context_text,context_text,normalized_context_text,chunk_index,elapsed_seconds_at_completion,openness_positive_probability,openness_negative_probability,openness_neutral_probability,openness,conscientiousness_positive_probability,conscientiousness_negative_probability,conscientiousness_neutral_probability,conscientiousness,extraversion_positive_probability,extraversion_negative_probability,extraversion_neutral_probability,extraversion,agreeableness_positive_probability,agreeableness_negative_probability,agreeableness_neutral_probability,agreeableness,neuroticism_positive_probability,neuroticism_negative_probability,neuroticism_neutral_probability,neuroticism,OCEAN_weight_high_probability,OCEAN_weight_medium_probability,OCEAN_weight_low_probability,OCEAN_weight,OCEAN_weight_source
111,the travelers,0,639,We,4241,4242,186,first_second_person_keep_original,False,""" [[We]] will go to the Emerald City and ask the Great Oz how to get back to Kansas again.",""" We will go to the Emerald City and ask the Great Oz how to get back to Kansas again.",""" We will go to the Emerald City and ask the Great Oz how to get back to Kansas again.",""" We will go to the Emerald City and ask the Great Oz how to get back to Kansas again.",1,34.12104010001349,0.5503735542297363,0.30069756507873535,0.14892880618572235,50.0,0.09860729426145554,0.40257585048675537,0.4988168478012085,50.0,0.2564407289028168,0.3937196135520935,0.3498396873474121,50.0,0.11377743631601334,0.1882295459508896,0.6979929804801941,50.0,0.13041308522224426,0.595416784286499,0.2741701602935791,17.97,0.08473525196313858,0.3858315348625183,0.5294332504272461,27.77,direct_nli_zero_shot
111,the travelers,1,994,They,6035,6036,258,proper_name_to_canonical,True,[[They]] walked back to the road.,the travelers walked back to the road.,the travelers walked back to the road.,the travelers walked back to the road.,1,34.12104010001349,0.16185429692268372,0.3231455385684967,0.5150001645088196,50.0,0.3239501714706421,0.39114028215408325,0.28490954637527466,50.0,0.1746240109205246,0.4639078378677368,0.36146822571754456,50.0,0.2833239734172821,0.20012350380420685,0.5165525078773499,50.0,0.14460813999176025,0.6299921274185181,0.2253997027873993,18.67,0.0921405628323555,0.30395761132240295,0.6039018630981445,24.41,direct_nli_zero_shot
111,the travelers,2,998,they,6050,6051,259,third_person_subject_pronoun_to_canonical,True,"Dorothy helped him over the fence, and [[they]] started along the path of yellow brick for the Emerald City.","Dorothy helped him over the fence, and the travelers started along the path of yellow brick for the Emerald City.","Dorothy helped him over the fence, and the travelers started along the path of yellow brick for the Emerald City.","Dorothy helped him over the fence, and the travelers started along the path of yellow brick for the Emerald City.",1,34.12104010001349,0.613976776599884,0.25644397735595703,0.12957929074764252,70.54,0.2711620330810547,0.24164801836013794,0.4871899485588074,50.0,0.493925005197525,0.20399722456932068,0.3020777404308319,70.77,0.8709651231765747,0.029351485893130302,0.09968342632055283,96.74,0.07364887744188309,0.6433360576629639,0.28301510214805603,10.27,0.12996530532836914,0.45221367478370667,0.4178210496902466,35.61,direct_nli_zero_shot
111,the travelers,3,1002,the party,6071,6073,260,simple_nominal_to_canonical,True,Toto did not like this addition to [[the party]] at first.,Toto did not like this addition to the travelers at first.,Toto did not like this addition to the travelers at first.,Toto did not like this addition to the travelers at first.,1,34.12104010001349,0.07230105251073837,0.5959839224815369,0.33171501755714417,10.82,0.16614572703838348,0.37956929206848145,0.4542849659919739,50.0,0.10356565564870834,0.4864240288734436,0.41001030802726746,50.0,0.0218826774507761,0.13196943700313568,0.846147894859314,50.0,0.25623413920402527,0.4497048854827881,0.29406091570854187,50.0,0.17273572087287903,0.464074045419693,0.36319029331207275,40.48,direct_nli_zero_shot
111,the travelers,4,1051,they,6389,6390,275,third_person_subject_pronoun_to_canonical,True,"There were fewer houses and fewer fruit trees, and the farther [[they]] went the more dismal and lonesome the country became.","There were fewer houses and fewer fruit trees, and the farther the travelers went the more dismal and lonesome the country became.","There were fewer houses and fewer fruit trees, and the farther the travelers went the more dismal and lonesome the country became.","There were fewer houses and fewer fruit trees, and the farther the travelers went the more dismal and lonesome the country became.",1,34.12104010001349,0.06709390133619308,0.31297779083251953,0.6199283599853516,50.0,0.2906445860862732,0.2709105312824249,0.4384448230266571,50.0,0.011342882178723812,0.4290292263031006,0.559627890586853,50.0,0.011577966623008251,0.034363482147455215,0.9540584683418274,50.0,0.37802088260650635,0.5034933686256409,0.11848580837249756,50.0,0.12361440062522888,0.3311729431152344,0.5452126264572144,28.92,direct_nli_zero_shot
111,the travelers,5,1053,they,6403,6404,276,third_person_subject_pronoun_to_canonical,True,"At noon [[they]] sat down by the roadside, near a little brook, and Dorothy opened her basket and got out some bread.","At noon the travelers sat down by the roadside, near a little brook, and Dorothy opened her basket and got out some bread.","At noon the travelers sat down by the roadside, near a little brook, and Dorothy opened her basket and got out some bread.","At noon the travelers sat down by the roadside, near a little brook, and Dorothy opened her basket and got out some bread.",1,34.12104010001349,0.2734426259994507,0.32694849371910095,0.39960888028144836,50.0,0.2794521450996399,0.3310484290122986,0.38949939608573914,50.0,0.16910618543624878,0.334098219871521,0.496795654296875,50.0,0.39578375220298767,0.11501104384660721,0.4892052114009857,50.0,0.1019190326333046,0.7065521478652954,0.191528782248497,12.61,0.13806523382663727,0.33406388759613037,0.5278708934783936,30.51,direct_nli_zero_shot
111,the travelers,6,1133,we,6743,6744,290,first_second_person_keep_original,False,"""Won't you tell me a story, while [[we]] are resting?"" asked the child.","""Won't you tell me a story, while we are resting?"" asked the child.","""Won't you tell me a story, while we are resting?"" asked the child.","""Won't you tell me a story, while we are resting?"" asked the child.",1,34.12104010001349,0.5820876955986023,0.3085412383079529,0.10937103629112244,50.0,0.1950361281633377,0.311362624168396,0.4936011731624603,50.0,0.4963442385196686,0.20868264138698578,0.2949730455875397,70.4,0.8415045738220215,0.06122685596346855,0.09726863354444504,93.22,0.10400596261024475,0.6012957692146301,0.2946983277797699,14.75,0.1480807065963745,0.43095114827156067,0.4209681749343872,36.36,direct_nli_zero_shot
111,the travelers,7,1339,we,7536,7537,323,first_second_person_keep_original,False,"By good luck you came along and pulled me off the stake, and from what you say I am sure the Great Oz will give me brains as soon as [[we]] get to the Emerald City."" ""I hope so,"" said Dorothy earnestly, ""since you seem anxious to have them.","By good luck you came along and pulled me off the stake, and from what you say I am sure the Great Oz will give me brains as soon as we get to the Emerald City."" ""I hope so,"" said Dorothy earnestly, ""since you seem anxious to have them.","By good luck you came along and pulled me off the stake, and from what you say I am sure the Great Oz will give me brains as soon as we get to the Emerald City."" ""I hope so,"" said Dorothy earnestly, ""since you seem anxious to have them.","By good luck you came along and pulled me off the stake, and from what you say I am sure the Great Oz will give me brains as soon as we get to the Emerald City."" ""I hope so,"" said Dorothy earnestly, ""since you seem anxious to have them.",1,34.12104010001349,0.6961925625801086,0.1753387749195099,0.12846866250038147,79.88,0.10389715433120728,0.21095681190490723,0.6851460337638855,50.0,0.29782336950302124,0.3366962671279907,0.36548033356666565,50.0,0.8285608887672424,0.04161577671766281,0.12982335686683655,95.22,0.31143462657928467,0.41082486510276794,0.27774056792259216,50.0,0.18116495013237,0.536928117275238,0.28190696239471436,44.96,direct_nli_zero_shot
111,the travelers,8,1350,us,7606,7607,326,first_second_person_keep_original,False,""" ""Well,"" said the girl, ""let [[us]] go.""",""" ""Well,"" said the girl, ""let us go.""",""" ""Well,"" said the girl, ""let us go.""",""" ""Well,"" said the girl, ""let us go.""",1,34.12104010001349,0.2430523931980133,0.44425204396247864,0.31269559264183044,50.0,0.20076528191566467,0.434807151556015,0.3644276261329651,50.0,0.22283391654491425,0.4020742177963257,0.37509191036224365,50.0,0.3580935299396515,0.27888351678848267,0.36302295327186584,50.0,0.11497142910957336,0.668760359287262,0.21626824140548706,14.67,0.1621517688035965,0.3931829333305359,0.4446652829647064,35.87,direct_nli_zero_shot
111,the travelers,9,1355,they,7641,7642,329,third_person_subject_pronoun_to_canonical,True,"Toward evening [[they]] came to a great forest, where the trees grew so big and close together that their branches met over the road of yellow brick.","Toward evening the travelers came to a great forest, where the trees grew so big and close together that their branches met over the road of yellow brick.","Toward evening the travelers came to a great forest, where the trees grew so big and close together that their branches met over the road of yellow brick.","Toward evening the travelers came to a great forest, where the trees grew so big and close together that their branches met over the road of yellow brick.",1,34.12104010001349,0.32628127932548523,0.36116042733192444,0.31255829334259033,50.0,0.33710530400276184,0.367715448141098,0.29517924785614014,50.0,0.10250315070152283,0.37973129749298096,0.5177655220031738,50.0,0.20461836457252502,0.09295208007097244,0.7024295330047607,50.0,0.12628273665905,0.5992339849472046,0.2744832932949066,17.41,0.11111920326948166,0.2257343828678131,0.6631463766098022,22.4,direct_nli_zero_shot
