local_cluster_uid,chunk_id,chunk_index,local_cluster_id,canonical_name,n_mentions
chunk_002::cluster_000,chunk_002,2,0,the family,20
chunk_002::cluster_001,chunk_002,2,1,the Free American Reformed Episcopalian Church,1
chunk_002::cluster_002,chunk_002,2,2,the ghost,321
chunk_002::cluster_003,chunk_002,2,3,the hall,1
chunk_002::cluster_004,chunk_002,2,4,the twins,23
chunk_002::cluster_005,chunk_002,2,5,Mr. Otis,26
chunk_002::cluster_006,chunk_002,2,6,a writing-master,1
chunk_002::cluster_007,chunk_002,2,7,the top of the staircase,1
chunk_002::cluster_008,chunk_002,2,8,Lord Raker,1
chunk_002::cluster_009,chunk_002,2,9,three of Lady Canterville's French governesses,2
chunk_002::cluster_010,chunk_002,2,10,Virginia,99
chunk_002::cluster_011,chunk_002,2,11,Lady Canterville,1
chunk_002::cluster_012,chunk_002,2,12,Lady Canterville's French governesses,1
chunk_002::cluster_013,chunk_002,2,13,Doctor Dobell,1
chunk_002::cluster_014,chunk_002,2,14,the family doctor,1
chunk_002::cluster_015,chunk_002,2,15,Lord Canterville's uncle,1
chunk_002::cluster_016,chunk_002,2,16,his room,11
chunk_002::cluster_017,chunk_002,2,17,modern Americans,1
chunk_002::cluster_018,chunk_002,2,18,a Spectre in armour,1
chunk_002::cluster_019,chunk_002,2,19,their,1
chunk_002::cluster_020,chunk_002,2,20,their natural poet,1
chunk_002::cluster_021,chunk_002,2,21,Longfellow,1
chunk_002::cluster_022,chunk_002,2,22,town,1
chunk_002::cluster_023,chunk_002,2,23,Kenilworth,1
chunk_002::cluster_024,chunk_002,2,24,the Virgin Queen,1
chunk_002::cluster_025,chunk_002,2,25,herself,1
chunk_002::cluster_026,chunk_002,2,26,his family,1
chunk_002::cluster_027,chunk_002,2,27,Washington Otis's room,1
chunk_002::cluster_028,chunk_002,2,28,him,1
chunk_002::cluster_029,chunk_002,2,29,Pinkerton,1
chunk_002::cluster_030,chunk_002,2,30,the reckless and foolhardy youth,1
chunk_002::cluster_031,chunk_002,2,31,there,2
chunk_002::cluster_032,chunk_002,2,32,the house,3
chunk_002::cluster_033,chunk_002,2,33,the charnel-house,1
chunk_002::cluster_034,chunk_002,2,34,the room,4
chunk_002::cluster_035,chunk_002,2,35,Dumb Daniel,1
chunk_002::cluster_036,chunk_002,2,36,the Suicide,1
chunk_002::cluster_037,chunk_002,2,37,the Suicide's Skeleton,1
chunk_002::cluster_038,chunk_002,2,38,Martin,1
chunk_002::cluster_039,chunk_002,2,39,the Maniac,1
chunk_002::cluster_040,chunk_002,2,40,schoolboys,1
chunk_002::cluster_041,chunk_002,2,41,the United States,1
chunk_002::cluster_042,chunk_002,2,42,the Red Farm,1
chunk_002::cluster_043,chunk_002,2,43,luckless Washington,1
chunk_002::cluster_044,chunk_002,2,44,luckless Washington's room,1
chunk_002::cluster_045,chunk_002,2,45,a madman,1
chunk_002::cluster_046,chunk_002,2,46,the spectre,7
chunk_002::cluster_047,chunk_002,2,47,the spot,2
chunk_002::cluster_048,chunk_002,2,48,a ghost,1
chunk_002::cluster_049,chunk_002,2,49,the butler,1
chunk_002::cluster_050,chunk_002,2,50,two ghosts,1
chunk_002::cluster_051,chunk_002,2,51,his new friend,1
chunk_002::cluster_052,chunk_002,2,52,Chanticleer,2
chunk_002::cluster_053,chunk_002,2,53,the library,4
chunk_002::cluster_054,chunk_002,2,54,the corridor,5
chunk_002::cluster_055,chunk_002,2,55,Lord Canterville,5
chunk_002::cluster_056,chunk_002,2,56,a distant homestead,1
chunk_002::cluster_057,chunk_002,2,57,the housemaids,1
chunk_002::cluster_058,chunk_002,2,58,"people on a low, material plane of existence",1
chunk_002::cluster_059,chunk_002,2,59,I,3
chunk_002::cluster_060,chunk_002,2,60,Mr. Otis's bedroom,1
chunk_002::cluster_061,chunk_002,2,61,the Huntsman of Hogley Woods,1
chunk_002::cluster_062,chunk_002,2,62,the insolent young Etonians,1
chunk_002::cluster_063,chunk_002,2,63,Reckless Rupert,1
chunk_002::cluster_064,chunk_002,2,64,the Headless Earl,1
chunk_002::cluster_065,chunk_002,2,65,the present Lord Canterville,1
chunk_002::cluster_066,chunk_002,2,66,the present Lord Canterville's grandfather,1
chunk_002::cluster_067,chunk_002,2,67,Gretna Green,1
chunk_002::cluster_068,chunk_002,2,68,handsome Jack Castletown,1
chunk_002::cluster_069,chunk_002,2,69,the world,1
chunk_002::cluster_070,chunk_002,2,70,a family that allowed such a horrible phantom to walk up and down the terrace at twilight,1
chunk_002::cluster_071,chunk_002,2,71,the terrace,1
chunk_002::cluster_072,chunk_002,2,72,Poor Jack,1
chunk_002::cluster_073,chunk_002,2,73,Wandsworth Common,1
chunk_002::cluster_074,chunk_002,2,74,Tunbridge Wells,1
chunk_002::cluster_075,chunk_002,2,75,the room occupied by the twins,1
chunk_002::cluster_076,chunk_002,2,76,the Blue Bed Chamber,2
chunk_002::cluster_077,chunk_002,2,77,there,2
chunk_002::cluster_078,chunk_002,2,78,the Cantervilles,4
chunk_002::cluster_079,chunk_002,2,79,a sexton,1
chunk_002::cluster_080,chunk_002,2,80,the Corpse-Snatcher of Chertsey Barn,1
chunk_002::cluster_081,chunk_002,2,81,Chertsey Barn,1
chunk_002::cluster_082,chunk_002,2,82,their neighbour,1
chunk_002::cluster_083,chunk_002,2,83,Lord Rufford,1
chunk_002::cluster_084,chunk_002,2,84,no one,1
chunk_002::cluster_085,chunk_002,2,85,a dark corner,1
chunk_002::cluster_086,chunk_002,2,86,their,2
chunk_002::cluster_087,chunk_002,2,87,the staircase,3
chunk_002::cluster_088,chunk_002,2,88,the passages,2
chunk_002::cluster_089,chunk_002,2,89,his enemies,1
chunk_002::cluster_090,chunk_002,2,90,home,1
chunk_002::cluster_091,chunk_002,2,91,their parents,1
chunk_002::cluster_092,chunk_002,2,92,the whole county,1
chunk_002::cluster_093,chunk_002,2,93,the boys,1
chunk_002::cluster_094,chunk_002,2,94,the lanes,1
chunk_002::cluster_095,chunk_002,2,95,the young Duke of Cheshire,11
chunk_002::cluster_096,chunk_002,2,96,the Tapestry Chamber,3
chunk_002::cluster_097,chunk_002,2,97,Canterville Chase,1
chunk_002::cluster_098,chunk_002,2,98,the guests,1
chunk_002::cluster_099,chunk_002,2,99,Colonel Carbury,1
chunk_002::cluster_100,chunk_002,2,100,the card-room,1
chunk_002::cluster_101,chunk_002,2,101,the two noble families,1
chunk_002::cluster_102,chunk_002,2,102,Lord Tattle,1
chunk_002::cluster_103,chunk_002,2,103,his,1
chunk_002::cluster_104,chunk_002,2,104,his Friends,1
chunk_002::cluster_105,chunk_002,2,105,the Stiltons,1
chunk_002::cluster_106,chunk_002,2,106,his own first cousin,1
chunk_002::cluster_107,chunk_002,2,107,the Sieur de Bulkeley,1
chunk_002::cluster_108,chunk_002,2,108,every one,1
chunk_002::cluster_109,chunk_002,2,109,the Dukes of Cheshire,1
chunk_002::cluster_110,chunk_002,2,110,Virginia's little lover,1
chunk_002::cluster_111,chunk_002,2,111,The Vampire Monk,1
chunk_002::cluster_112,chunk_002,2,112,the Bloodless Benedictine,1
chunk_002::cluster_113,chunk_002,2,113,her nearest relations,1
chunk_002::cluster_114,chunk_002,2,114,her London apothecary,1
chunk_002::cluster_115,chunk_002,2,115,London,1
chunk_002::cluster_116,chunk_002,2,116,the Royal Bedchamber,1
chunk_002::cluster_117,chunk_002,2,117,Brockley meadows,1
chunk_002::cluster_118,chunk_002,2,118,their,1
chunk_002::cluster_119,chunk_002,2,119,the back staircase,1
chunk_002::cluster_120,chunk_002,2,120,some one,1
chunk_002::cluster_121,chunk_002,2,121,her mother,1
chunk_002::cluster_122,chunk_002,2,122,the long avenue,1
chunk_002::cluster_123,chunk_002,2,123,my brothers,1
chunk_002::cluster_124,chunk_002,2,124,Eton,1
chunk_002::cluster_125,chunk_002,2,125,no one,1
chunk_002::cluster_128,chunk_002,2,128,Mrs. Umney,1
chunk_002::cluster_129,chunk_002,2,129,we,2
chunk_002::cluster_130,chunk_002,2,130,home,2
chunk_002::cluster_131,chunk_002,2,131,Hogley Woods,2
chunk_002::cluster_132,chunk_002,2,132,no one else,1
chunk_002::cluster_133,chunk_002,2,133,any one,1
chunk_002::cluster_134,chunk_002,2,134,some old New England ancestor,1
chunk_002::cluster_135,chunk_002,2,135,New England,1
chunk_002::cluster_136,chunk_002,2,136,her brothers,1
chunk_002::cluster_137,chunk_002,2,137,"the rest of your horrid, rude, vulgar, dishonest family",1
chunk_002::cluster_138,chunk_002,2,138,"your horrid, rude, vulgar, dishonest family",1
chunk_002::cluster_139,chunk_002,2,139,England,1
chunk_002::cluster_140,chunk_002,2,140,you,1
chunk_002::cluster_141,chunk_002,2,141,Americans,1
chunk_002::cluster_142,chunk_002,2,142,spirits of every kind,1
chunk_002::cluster_143,chunk_002,2,143,the Custom House,1
chunk_002::cluster_144,chunk_002,2,144,the officers,1
chunk_002::cluster_145,chunk_002,2,145,Democrats,1
chunk_002::cluster_146,chunk_002,2,146,New York,1
chunk_002::cluster_147,chunk_002,2,147,there,2
chunk_002::cluster_148,chunk_002,2,148,a grandfather,1
chunk_002::cluster_149,chunk_002,2,149,a family ghost,1
chunk_002::cluster_150,chunk_002,2,150,we,1
chunk_002::cluster_151,chunk_002,2,151,church,1
chunk_002::cluster_152,chunk_002,2,152,babies,2
chunk_002::cluster_153,chunk_002,2,153,the pine-woods,1
chunk_002::cluster_154,chunk_002,2,154,a little garden,2
chunk_002::cluster_155,chunk_002,2,155,the sleepers,1
chunk_002::cluster_156,chunk_002,2,156,the Garden of Death,1
